timestamp,temperature.gpu,power.draw,power.limit,utilization.gpu,utilization.memory,memory.used,memory.total,clocks.gr,clocks.mem,fan.speed,pstate
2026/02/05 00:15:09.568,68,18.92,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:10.630,68,19.65,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:11.714,68,19.19,[N/A],32,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:12.784,68,19.02,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:13.853,68,18.72,[N/A],30,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:14.924,68,18.97,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:15.993,68,19.02,[N/A],33,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:17.058,69,17.91,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:18.121,68,19.74,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:19.198,69,19.08,[N/A],30,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:20.258,68,19.05,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:21.326,68,18.99,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:22.383,68,23.05,[N/A],31,9,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:23.451,68,18.89,[N/A],27,8,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:24.517,68,20.65,[N/A],35,10,1599,4096,1575,7000,[N/A],P0
2026/02/05 00:15:25.583,68,12.63,[N/A],0,0,1452,4096,1575,7000,[N/A],P0
2026/02/05 00:15:26.727,68,13.86,[N/A],13,2,1613,4096,1575,7000,[N/A],P0
2026/02/05 00:15:27.793,68,17.83,[N/A],28,4,1346,4096,1575,7000,[N/A],P0
2026/02/05 00:15:28.862,68,14.82,[N/A],27,4,1281,4096,1575,7000,[N/A],P0
2026/02/05 00:15:29.928,68,17.41,[N/A],28,4,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:30.995,68,17.58,[N/A],27,5,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:32.063,68,15.77,[N/A],22,3,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:33.133,68,15.74,[N/A],21,3,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:34.200,68,15.71,[N/A],22,3,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:35.268,68,19.30,[N/A],31,6,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:36.339,68,19.57,[N/A],32,6,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:37.408,68,19.68,[N/A],32,6,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:38.474,68,19.53,[N/A],32,6,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:39.543,68,19.47,[N/A],31,6,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:40.613,68,16.49,[N/A],24,4,1269,4096,1575,7000,[N/A],P0
2026/02/05 00:15:41.700,67,12.53,[N/A],0,0,1267,4096,1575,7000,[N/A],P0
2026/02/05 00:15:42.781,69,19.01,[N/A],21,4,1357,4096,1695,7000,[N/A],P0
2026/02/05 00:15:43.894,69,22.49,[N/A],20,5,1459,4096,1695,7000,[N/A],P0
2026/02/05 00:15:44.969,69,24.72,[N/A],40,11,1501,4096,1695,7000,[N/A],P0
2026/02/05 00:15:46.033,69,24.12,[N/A],38,12,1502,4096,1695,7000,[N/A],P0
2026/02/05 00:15:47.117,69,20.48,[N/A],33,10,1503,4096,1605,7000,[N/A],P0
2026/02/05 00:15:48.188,69,19.78,[N/A],35,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:49.254,69,19.57,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:50.323,68,19.60,[N/A],35,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:51.388,69,19.69,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:52.454,68,19.78,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:53.519,68,20.03,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:54.584,69,19.83,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:55.651,68,19.71,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:56.721,68,19.70,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:57.785,68,19.90,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:58.853,68,19.68,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:15:59.923,68,19.74,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:00.994,68,19.59,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:02.064,68,19.82,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:03.130,68,20.03,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:04.200,68,19.77,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:05.270,68,19.52,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:06.339,68,19.75,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:07.405,68,19.90,[N/A],34,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:08.474,68,19.74,[N/A],35,10,1519,4096,1575,7000,[N/A],P0
2026/02/05 00:16:09.542,68,22.01,[N/A],33,8,1583,4096,1597,7000,[N/A],P0
2026/02/05 00:16:10.625,69,23.65,[N/A],39,12,1582,4096,1680,7000,[N/A],P0
2026/02/05 00:16:11.692,69,22.22,[N/A],32,9,1597,4096,1680,7000,[N/A],P0
2026/02/05 00:16:12.759,68,19.59,[N/A],33,9,1597,4096,1575,7000,[N/A],P0
2026/02/05 00:16:13.828,69,19.05,[N/A],32,9,1597,4096,1575,7000,[N/A],P0
2026/02/05 00:16:14.899,69,19.24,[N/A],33,9,1603,4096,1575,7000,[N/A],P0
2026/02/05 00:16:15.970,68,18.97,[N/A],30,8,1603,4096,1575,7000,[N/A],P0
2026/02/05 00:16:17.041,69,22.61,[N/A],25,7,1587,4096,1575,7000,[N/A],P0
2026/02/05 00:16:18.110,69,20.21,[N/A],34,11,1564,4096,1575,7000,[N/A],P0
2026/02/05 00:16:19.175,69,20.13,[N/A],34,11,1564,4096,1575,7000,[N/A],P0
2026/02/05 00:16:20.239,69,20.84,[N/A],35,12,1564,4096,1575,7000,[N/A],P0
2026/02/05 00:16:21.307,69,22.71,[N/A],39,15,1564,4096,1575,7000,[N/A],P0
2026/02/05 00:16:22.374,69,25.80,[N/A],39,15,1571,4096,1680,7000,[N/A],P0
2026/02/05 00:16:23.445,69,25.95,[N/A],39,16,1572,4096,1680,7000,[N/A],P0
2026/02/05 00:16:24.511,69,25.73,[N/A],38,15,1572,4096,1695,7000,[N/A],P0
2026/02/05 00:16:25.579,69,26.72,[N/A],38,14,1572,4096,1665,7000,[N/A],P0
2026/02/05 00:16:26.645,69,22.44,[N/A],41,16,1572,4096,1695,7000,[N/A],P0
2026/02/05 00:16:27.708,69,21.74,[N/A],31,9,1579,4096,1695,7000,[N/A],P0
2026/02/05 00:16:28.778,69,19.24,[N/A],33,10,1579,4096,1575,7000,[N/A],P0
2026/02/05 00:16:29.843,69,19.83,[N/A],34,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:30.912,69,19.79,[N/A],33,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:31.980,69,18.94,[N/A],34,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:33.045,69,19.79,[N/A],33,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:34.109,69,20.32,[N/A],34,11,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:35.180,69,19.97,[N/A],33,11,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:36.250,69,19.89,[N/A],33,11,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:37.319,69,23.09,[N/A],33,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:38.390,68,19.90,[N/A],34,11,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:39.461,69,19.27,[N/A],34,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:40.528,69,19.69,[N/A],34,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:41.595,69,19.98,[N/A],34,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:42.664,69,19.80,[N/A],34,10,1580,4096,1575,7000,[N/A],P0
2026/02/05 00:16:43.729,69,21.68,[N/A],34,11,1594,4096,1575,7000,[N/A],P0
2026/02/05 00:16:44.798,69,19.78,[N/A],33,10,1594,4096,1575,7000,[N/A],P0
2026/02/05 00:16:45.868,68,19.69,[N/A],33,10,1594,4096,1575,7000,[N/A],P0
